"Ticker","Date","Open","High","Low","Close","Volume","TWAP-Open","TWAP-High","TWAP-Low","TWAP-Close","SMA-50","SMA-200","LWMA-15","LWMA-50"
"FB","2016-01-19","96.53","97.42","93.92","95.26","30998256.0","58.10035","58.85333","57.29622","58.07824","104.2377","92.56307","98.46742","102.73313"
"FB","2016-01-15","93.98","96.38","93.54","94.97","46132781.0","58.05862","58.81145","57.25645","58.03786","104.4113","92.49455","99.20925","103.092"
"FB","2016-01-14","95.85","98.87","92.45","98.37","48658623.0","58.01957","58.77062","57.21701","57.99772","104.5635","92.42802","100.06783","103.46822"
"FB","2016-01-13","100.58","100.58","95.21","95.44","33410553.0","57.97841","58.72698","57.17867","57.95379","104.6623","92.34725","100.56092","103.71498"
"FB","2016-01-12","99.0","99.96","97.55","99.37","28395390.0","57.932","58.68139","57.13725","57.91296","104.7929","92.28602","101.498","104.08176"
"FB","2016-01-11","97.91","98.6","95.39","97.51","29932385.0","57.88722","58.63638","57.09317","57.86775","104.9031","92.20567","101.98275","104.29874"
"FB","2016-01-08","99.88","100.5","97.0311","97.33","35402298.0","57.84352","58.59275","57.05137","57.82447","105.0369","92.13317","102.77258","104.59391"
"FB","2016-01-07","100.5","101.43","97.3","97.92","45172906.0","57.79758","58.54695","57.00767","57.78129","105.1643","92.06112","103.66375","104.90114"
"FB","2016-01-06","101.13","103.77","100.9","102.97","25096183.0","57.75086","58.50003","56.96359","57.73738","105.2813","91.99807","104.53642","105.18982"
"FB","2016-01-05","102.89","103.7099","101.665","102.73","23258238.0","57.70335","58.45045","56.91547","57.68783","105.2657","91.90537","104.79192","105.27985"
"FB","2016-01-04","101.95","102.24","99.75","102.22","37912403.0","57.6538","58.40082","56.8664","57.63845","105.2045","91.81072","105.07233","105.37689"
"FB","2015-12-31","106.0","106.17","104.62","104.66","18391064.0","57.60518","58.3527","56.81933","57.58951","105.1023","91.71337","105.44317","105.48992"
"FB","2015-12-30","107.0","107.25","106.06","106.22","13115007.0","57.552","58.30015","56.7668","57.53778","104.9491","91.59462","105.5085","105.50125"
"FB","2015-12-29","106.42","107.74","106.25","107.26","17179901.0","57.4976","58.2463","56.71257","57.48423","104.7941","91.46035","105.38108","105.44534"
"FB","2015-12-28","105.02","105.98","104.53","105.93","13069733.0","57.44372","58.19179","56.65801","57.42941","104.5997","91.3144","105.10992","105.34101"
"FB","2015-12-24","104.74","105.32","104.5","105.02","6512134.0","57.39127","58.13911","56.60523","57.37594","104.4003","91.175","105.00708","105.28102"
"FB","2015-12-23","105.89","106.11","103.86","104.63","19599673.0","57.339","58.08703","56.55237","57.32335","104.1813","91.04455","105.01267","105.24813"
"FB","2015-12-22","105.22","105.6601","104.81","105.51","14597122.0","57.28536","58.03397","56.50009","57.27108","103.9711","90.90925","105.079","105.22229"
"FB","2015-12-21","104.91","105.15","103.6","104.77","16138786.0","57.23233","57.98128","56.44665","57.21771","103.7461","90.76945","105.04875","105.15312"
"FB","2015-12-18","106.08","106.59","103.97","104.04","35994199.0","57.17953","57.92905","56.39444","57.16505","103.5155","90.6428","105.10658","105.10393"
"FB","2015-12-17","107.49","107.75","106.13","106.22","21675686.0","57.12532","57.8751","56.34169","57.11309","103.2841","90.52262","105.26742","105.07428"
"FB","2015-12-16","105.37","107.09","104.19","106.79","22680547.0","57.06942","57.81974","56.28643","57.05858","103.0077","90.39757","105.149","104.94831"
"FB","2015-12-15","105.3","105.8","104.28","104.55","21764331.0","57.01575","57.765","56.23321","57.00333","102.7279","90.2681","104.95058","104.78901"
"FB","2015-12-14","102.285","104.74","101.46","104.66","24813496.0","56.96205","57.71157","56.17976","56.95044","102.5171","90.14335","105.05217","104.70929"
