Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,TWAP-Open,TWAP-High,TWAP-Low,TWAP-Close,SMA-50,SMA-200,LWMA-15,LWMA-50
2015-06-11,82.31,82.9,81.36,81.83,18656811,0,1,82.31,82.9,81.36,81.83,18656811,50.57290,51.25859,49.85373,50.54191,80.89950,78.19115,81.19717,80.58209
2015-06-10,80.83,82.6,80.81,82.16,21531208,0,1,80.83,82.6,80.81,82.16,21531208,50.53163,51.21744,49.81276,50.50123,80.90720,78.15710,81.06554,80.54590
2015-06-09,80.6,81.19,79.32,80.67,16497538,0,1,80.6,81.19,79.32,80.67,16497538,50.49218,51.17658,49.77240,50.46000,80.92790,78.11915,80.87992,80.49758
2015-06-08,81.82,82,80.13,80.67,16915471,0,1,81.82,82,80.13,80.67,16915471,50.45293,51.13745,49.73387,50.42062,80.98050,78.08865,80.88229,80.50976
2015-06-05,81.87,82.46,81.51,82.14,16143093,0,1,81.87,82.46,81.51,82.14,16143093,50.41198,51.09716,49.69419,50.38113,81.02730,78.05935,80.88258,80.52377
2015-06-04,82.14,82.95,81.51,82.05,20863877,0,1,82.14,82.95,81.51,82.05,20863877,50.37085,51.05616,49.65260,50.33961,81.04290,78.02510,80.69271,80.48075
2015-06-03,81.35,82.53,81.25,82.44,31774993,0,1,81.35,82.53,81.25,82.44,31774993,50.32927,51.01441,49.61090,50.29811,81.10810,77.98780,80.48400,80.44381
2015-06-02,79.76,81.35,79.56,80.445,18923300,0,1,79.76,81.35,79.56,80.445,18923300,50.28862,50.97311,49.56944,50.25598,81.14790,77.94375,80.18504,80.39314
2015-06-01,79.3,80.38,78.66,80.29,18119012,0,1,79.3,80.38,78.66,80.29,18119012,50.24994,50.93324,49.53008,50.21636,81.21500,77.91301,80.11517,80.42333
2015-05-29,79.95,80.07,78.88,79.19,16134580,0,1,79.95,80.07,78.88,79.19,16134580,50.21177,50.89455,49.49180,50.17684,81.26420,77.88041,80.04983,80.46154
2015-05-28,80.25,81.0745,80,80.145,11982008,0,1,80.25,81.0745,80,80.145,11982008,50.17264,50.85616,49.45313,50.13867,81.29860,77.84861,80.11563,80.54423
2015-05-27,79.6,80.66,79.43,80.55,14160865,0,1,79.6,80.66,79.43,80.55,14160865,50.13301,50.81635,49.41289,50.09913,81.28300,77.81508,80.04500,80.58885
2015-05-26,80.43,80.6,79.08,79.335,16321339,0,1,80.43,80.6,79.08,79.335,16321339,50.09413,50.77697,49.37329,50.05896,81.23340,77.77763,79.89883,80.61565
2015-05-22,80.35,81.31,80.25,80.54,19567937,0,1,80.35,81.31,80.25,80.54,19567937,50.05406,50.73758,49.33404,50.02029,81.20770,77.74681,79.90017,80.68909
2015-05-21,80.19,80.92,80.08,80.48,13402749,0,1,80.19,80.92,80.08,80.48,13402749,50.01399,50.69714,49.29315,49.97992,81.17550,77.70646,79.73796,80.71402
2015-05-20,80.47,81.1,79.46,80.55,23056899,0,1,80.47,81.1,79.46,80.55,23056899,49.97402,50.65711,49.25237,49.93952,81.11730,77.66751,79.56900,80.73901
2015-05-19,81.25,81.69,80.55,80.63,17955389,0,1,81.25,81.69,80.55,80.63,17955389,49.93357,50.61673,49.21231,49.89892,81.05730,77.63231,79.39058,80.75890
2015-05-18,80.33,81.38,80.23,80.88,21613674,0,1,80.33,81.38,80.23,80.88,21613674,49.89198,50.57547,49.17069,49.85811,81.03350,77.59096,79.20258,80.77473
2015-05-15,81.41,81.52,80.18,80.42,27069884,0,1,81.41,81.52,80.18,80.42,27069884,49.85151,50.53450,49.12939,49.81686,81.01600,77.54981,78.99192,80.78006
